time,temp_min_daily,temp_max_daily,temp_mean_daily,temp_grass_mean_daily,temp_soil_min_daily,temp_soil_max_daily,temp_soil_mean_daily,humidity_daily,wind_direction_daily,wind_gust_max_daily,wind_speed_daily,precip_total_daily,precip_duration_daily,radiation_global_daily,sunshine_duration_daily,KarupBro,ET0
2004-10-02,9.7,13.4,11.566666666666668,11.029166666666669,10.1,11.6,10.816666666666668,91.375,161.08333333333334,11.4,4.458333333333333,1.9,21.0,509.0,19.0,453.48,62.097140796415815
2004-10-03,8.5,16.6,12.029166666666669,11.654166666666669,10.2,12.6,11.3375,83.66666666666667,208.41666666666663,10.9,3.4916666666666667,3.2,31.0,3027.0,456.0,511.72,401.9293635462697
2004-10-04,7.2,14.8,12.404166666666669,11.658333333333331,11.1,12.4,11.704166666666666,87.0,187.95833333333331,15.2,5.583333333333333,3.5,39.0,939.0,19.5,541.95,109.14259404616705
2004-10-05,4.7,15.5,10.029166666666669,9.133333333333336,9.7,12.2,10.883333333333333,89.875,164.33333333333334,10.1,2.1125000000000003,0.5,5.0,1452.0,85.5,560.73,202.6750631838129
2004-10-06,8.8,15.4,11.816666666666668,11.225,10.3,12.1,11.0125,82.25,215.625,16.2,5.9375,2.4,29.0,2268.0,303.0,536.01,251.51005519318983
2004-10-07,8.7,13.1,10.454166666666667,10.1,10.1,11.6,10.820833333333333,85.75,226.54166666666663,14.0,5.3500000000000005,10.0,78.0,2109.0,266.0,766.72,230.94263865565105
2004-10-08,3.9,14.0,9.520833333333334,8.529166666666667,9.3,11.4,10.45,85.66666666666667,278.8333333333333,11.9,2.8875,0.0,0.0,2245.0,314.5,904.97,287.441314144172
2004-10-09,1.2,11.5,5.566666666666666,4.495833333333334,7.9,10.0,8.845833333333333,80.875,144.83333333333334,5.1,1.0458333333333334,0.0,0.0,2472.0,451.5,787.43,330.761142282748
2004-10-10,-0.9,12.1,5.2125,4.229166666666667,6.5,8.9,7.620833333333334,82.29166666666667,139.16666666666666,6.8,1.7208333333333334,0.0,0.0,2663.0,489.0,668.11,326.32806945625964
2004-10-11,2.5,8.7,6.241666666666667,5.270833333333333,6.7,8.3,7.479166666666667,74.5,96.41666666666669,9.5,2.629166666666667,0.0,0.0,2895.0,512.5,591.21,336.55765476538926
